modelo,transformacao,rmse,rmse_dp,spearman,precision_at_k
ridge,identidade,2.743308792365286,0.2941277415058611,0.3997072043718872,0.5
ridge,log1p,2.9705733412074347,0.6000406657540389,0.4304970166711253,0.525
ridge,sqrt,2.815311954281519,0.3817456585717967,0.4225964360196537,0.51875
random_forest,identidade,2.765516650674482,0.32497756352872764,0.43164459408339384,0.5125
random_forest,log1p,2.931625474149011,0.48434925155633596,0.44876226862875973,0.525
random_forest,sqrt,2.8812004105809126,0.45554171084138145,0.4535231107546337,0.50625
