CO_MESORREGIAO,escolas,abandono_medio,mediana,categoria,participacao,p_valor,significancia
2602,227,2.7616740088105725,0.0,São Francisco Pernambucano,14.312736443883987,1.7662519822656678e-10,***
2601,237,1.5291139240506328,0.0,Sertão Pernambucano,14.94325346784363,1.7662519822656678e-10,***
2603,366,1.084153005464481,0.0,Agreste Pernambucano,23.076923076923077,1.7662519822656678e-10,***
2604,233,0.5656652360515022,0.0,Mata Pernambucana,14.691046658259774,1.7662519822656678e-10,***
2605,523,0.4977055449330784,0.0,Metropolitana de Recife,32.97604035308953,1.7662519822656678e-10,***
