transicao,CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,taxa_real,taxa_prev,mat_t1,alunos_real,alunos_prev,residuo_alunos
2022-2023,26098822,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA ABIGAIL GUERRA,Cortês,0.0,0.2402740865945816,426.0,0.0,1.0235676088929175,-1.0235676088929175
2022-2023,26067803,ESCOLA DE REFERENCIA EM ENSINO MEDIO MANOEL GONCALVES DE LIMA,Cumaru,0.5,0.22814498841762543,449.0,2.245,1.0243709979951383,1.2206290020048618
2022-2023,26084040,ESCOLA EZEQUIEL BERTINO DE ALMEIDA,Cupira,0.0,1.360957384109497,399.0,0.0,5.430219962596894,-5.430219962596894
2022-2023,26084201,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA MARIA DE LOURDES TEMPORAL,Cupira,0.3,0.1897600144147873,337.0,1.0110000000000001,0.6394912485778331,0.371508751422167
2022-2023,26025981,ESCOLA GENERAL JOAQUIM INACIO,Custódia,4.3,2.6505706310272217,559.0,24.037,14.81668982744217,9.220310172557829
2022-2023,26026627,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOSE PEREIRA BURGOS,Custódia,0.0,0.7574293613433838,655.0,0.0,4.961162316799164,-4.961162316799164
2022-2023,26181649,ESCOLA DE REFERENCIA EM ENSINO MEDIO QUILOMBOLA VEREADORA ALZIRA TENORIO DO AMARAL,Custódia,0.0,0.7832260131835938,185.0,0.0,1.4489681243896484,-1.4489681243896484
2022-2023,26033089,ESCOLA NOSSA SENHORA DAS GRACAS - DORMENTES,Dormentes,0.0,0.31460726261138916,162.0,0.0,0.5096637654304504,-0.5096637654304504
2022-2023,26033356,ESCOLA DE REFERENCIA EM ENSINO MEDIO SENADOR NILO COELHO,Dormentes,0.0,0.4551408886909485,509.0,0.0,2.316667123436928,-2.316667123436928
2022-2023,26098920,ESCOLA TECNICA ESTADUAL LUIZ DIAS LINS,Escada,0.0,0.23040077090263367,357.0,0.0,0.8225307521224021,-0.8225307521224021
2022-2023,26099322,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR ERALDO CAMPOS,Escada,0.0,0.2922905683517456,343.0,0.0,1.0025566494464875,-1.0025566494464875
2022-2023,26099365,ESCOLA DOUTOR FERNANDO CAMPELO,Escada,0.0,-0.00257864804007113,552.0,0.0,-0.014234137181192636,0.014234137181192636
2022-2023,26099489,ESCOLA DE REFERENCIA EM ENSINO MEDIO MONSENHOR JOAO RODRIGUES DE CARVALHO,Escada,0.0,0.18940898776054382,597.0,0.0,1.1307716569304467,-1.1307716569304467
2022-2023,26099497,ESCOLA DE REFERENCIA EM ENSINO MEDIO VIGARIO PEDROSA,Escada,0.0,0.2922905683517456,337.0,0.0,0.9850192153453827,-0.9850192153453827
2022-2023,26003066,ESCOLA DE REFERENCIA EM ENSINO MEDIO BARAO DE EXU,Exu,0.0,0.4934634864330292,421.0,0.0,2.0774812778830527,-2.0774812778830527
2022-2023,26003210,ESCOLA SAO VICENTE DE PAULA - EXU,Exu,9.5,4.887935638427734,856.0,81.32000000000001,41.84072906494141,39.4792709350586
2022-2023,26003821,ESCOLA NELSON ARAUJO,Exu,0.0,5.5422282218933105,166.0,0.0,9.200098848342895,-9.200098848342895
2022-2023,26068427,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSORA MARILENE CHAVES DE SANTANA,Feira Nova,0.0,0.19359393417835236,357.0,0.0,0.6911303450167179,-0.6911303450167179
2022-2023,26068508,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANTONIO INACIO,Feira Nova,0.0,0.2661217153072357,368.0,0.0,0.9793279123306275,-0.9793279123306275
2022-2023,26132001,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO ARQUIPELAGO FERNANDO DE NORONHA,Fernando de Noronha,0.0,0.7132365703582764,74.0,0.0,0.5277950620651245,-0.5277950620651245
2022-2023,26088606,ESCOLA DE REFERENCIA EM ENSINO MEDIO EMILIANO PEREIRA BORGES,Ferreiros,0.0,0.5292801260948181,318.0,0.0,1.6831108009815217,-1.6831108009815217
2022-2023,26016540,ESCOLA DE REFERENCIA EM ENSINO MEDIO AIRES GAMA,Flores,1.8,1.2279691696166992,288.0,5.184000000000001,3.536551208496094,1.647448791503907
2022-2023,26016729,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO DARIO GOMES DE LIMA,Flores,0.7,0.6025903224945068,161.0,1.1269999999999998,0.9701704192161561,0.15682958078384368
2022-2023,26133974,ESCOLA PEDRO SANTOS ESTIMA,Flores,0.4,0.9262998700141907,305.0,1.22,2.8252146035432815,-1.6052146035432815
