modelo,avaliacao,fold,rmse,mae,r2,spearman,precision_at_k
dummy_media,cv_groupkfold,1.0,2.524394070551647,1.4750729123266473,-0.015241295853945402,,0.0625
dummy_media,cv_groupkfold,2.0,3.3049821251913043,1.696216251152824,-5.62025339005956e-05,,0.09375
dummy_media,cv_groupkfold,3.0,3.966558140024825,1.7141806683520895,-0.00012429354271459303,,0.0625
dummy_media,cv_groupkfold,4.0,3.052638792871027,1.7048646068714532,-0.0008690825387858148,,0.03125
dummy_media,cv_groupkfold,5.0,4.227648616320023,1.8765360837043499,-0.009940707030984486,,0.03125
ridge,cv_groupkfold,1.0,2.4405164239905277,1.1896455479110577,0.05110438145878682,0.40681858082786854,0.40625
ridge,cv_groupkfold,2.0,2.644883517609392,1.2985433926966061,0.359529282920643,0.3421564950297818,0.625
ridge,cv_groupkfold,3.0,3.0301095685424246,1.3350526697371647,0.4163627619089967,0.3560731631180559,0.46875
ridge,cv_groupkfold,4.0,2.521345714671,1.2931481455790996,0.31720358500259926,0.37983532111686036,0.46875
ridge,cv_groupkfold,5.0,3.079688737013086,1.3709494135701334,0.4640654446043454,0.5136524617668694,0.53125
random_forest,cv_groupkfold,1.0,2.6515634124911918,1.1433354516892642,-0.1201057006476669,0.3705182430617436,0.5
random_forest,cv_groupkfold,2.0,2.6625806418377636,1.1840535958516063,0.3509297285343387,0.41919870562721456,0.53125
random_forest,cv_groupkfold,3.0,2.856971070178822,1.137772079571128,0.48115454903784594,0.4465081968762,0.5
random_forest,cv_groupkfold,4.0,2.390838564937429,1.105901527039975,0.38605857058769977,0.4000687407879731,0.5625
random_forest,cv_groupkfold,5.0,3.2656295639272033,1.394702371623398,0.39739608538695503,0.5219290840638381,0.46875
dummy_media,temporal_2023_2024,,2.5401312862573655,1.6166915540373994,-0.038047253423456606,,0.08860759493670886
ridge,temporal_2023_2024,,2.8905756577142063,1.3975820556980834,-0.3442296747609561,0.3304934981868401,0.379746835443038
random_forest,temporal_2023_2024,,2.750592993696688,1.138777937271017,-0.21718743711193467,0.3432240566984267,0.4050632911392405
